date,date,er,g,z,d,y,pi,c,R,ylag
7747.0,7747.0,-0.0017354385471543298,-0.004110721222419084,0.004898118060786043,-0.02691906120544316,-0.0014163563748237984,-5.319445412524349e-5,0.0026943648475952864,-0.0012226488225851315,-0.0029008615510267895
7748.0,7748.0,-0.00030099527757799794,-0.002049532835319193,0.001514482944966679,-0.03505953531293209,-0.0012166190619055392,-0.00032089520953953153,0.0008329137734136532,-0.001109992674061212,-0.0014163563748237984
7749.0,7749.0,-9.038065055224222e-5,-8.942813017787533e-5,0.00684095436448662,-0.03162094222766665,-0.0008058527670418056,-0.001137195639076852,-0.0007164246368639302,-0.00014837927288850554,-0.0012166190619055392
7750.0,7750.0,-0.0018118579603489298,0.0014727138199956073,0.003287883030795254,-0.025966364365871582,0.0014862895557243485,1.7714394351945034e-5,1.3575735728740346e-5,-0.0008276649242986874,-0.0008058527670418056
7751.0,7751.0,-0.002027452496859339,-0.0052703602530909015,0.0027214855415310223,-0.055816605305864034,-0.001486918530730011,0.00033398500282015055,0.003783441722360891,-0.0025652498536367853,0.0014862895557243485
7752.0,7752.0,0.0009140420194267411,-0.0035571818657407902,-0.0007922493732544444,-0.03632276719654158,-0.0019289792695510353,-9.385195318463977e-5,0.0016282025961897547,-0.0014288856611054921,-0.001486918530730011
7753.0,7753.0,-0.0031741512077817723,0.002416142996383284,-0.013239516765974912,-0.07919298066178274,0.004317110260099881,0.0024467208320559067,0.0019009672637165984,-0.004415676642316598,-0.0019289792695510353
7754.0,7754.0,-0.0014963247225043854,0.007049782187966766,0.0016332414338336466,-0.062240455215324536,0.00827560847345929,0.0019572627438591557,0.0012258262854925217,-0.0029151084387010655,0.004317110260099881
7755.0,7755.0,-0.0018211484675137188,0.005585728663787498,-0.0006971747056008141,-0.0129868235738052,0.008735575576930981,0.0031520498303897427,0.0031498469131434827,-0.0025606619966892135,0.00827560847345929
7756.0,7756.0,0.0011942010529675095,0.0018719793754214597,0.006764669088421955,-0.005011567704260265,0.002908912443832332,0.0004577896108680045,0.001036933068410873,-0.0004324287794891309,0.008735575576930981
7757.0,7757.0,0.0026695726597039493,0.0026954309221316353,-0.0045648870192574,0.02556180967327247,0.00029664811442088384,-8.084963789289519e-5,-0.0023987828077107515,0.000874866160069246,0.002908912443832332
7758.0,7758.0,-0.0017616052046419564,0.0006779453230106199,-0.005437205463853825,0.03451427539426657,0.002572907044349988,0.0019413260789667324,0.0018949617213393681,-0.0006717682361731041,0.00029664811442088384
7759.0,7759.0,-0.0035002988349875325,0.00012629249419539236,-0.0019473602123484118,0.04337993827300543,0.006024127764173097,0.0037325298509303345,0.005897835269977706,-0.0018020412419772023,0.002572907044349988
